CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
stargaze-1, 07-tendermint-194, connection-127, channel-100, icahost, local-test-10, 07-tendermint-0, connection-0, channel-3, icacontroller-stargaze-1.WITHDRAWAL
stargaze-1, 07-tendermint-194, connection-127, channel-101, icahost, local-test-10, 07-tendermint-0, connection-0, channel-2, icacontroller-stargaze-1.FEE
stargaze-1, 07-tendermint-195, connection-128, channel-107, icahost, stride-1, 07-tendermint-30, connection-18, channel-23, icacontroller-stargaze-1.REDEMPTION
stargaze-1, 07-tendermint-195, connection-128, channel-109, icahost, stride-1, 07-tendermint-30, connection-18, channel-21, icacontroller-stargaze-1.FEE
stargaze-1, 07-tendermint-225, connection-159, channel-126, icahost, quicksilver-2, 07-tendermint-0, connection-0, channel-3, icacontroller-stargaze-1.deposit
stargaze-1, 07-tendermint-225, connection-159, channel-129, icahost, quicksilver-2, 07-tendermint-0, connection-0, channel-4, icacontroller-stargaze-1.withdrawal
stargaze-1, 07-tendermint-225, connection-159, channel-130, icahost, quicksilver-2, 07-tendermint-0, connection-0, channel-5, icacontroller-stargaze-1.performance
stargaze-1, 07-tendermint-178, connection-111, channel-172, icahost, kaiyo-1, 07-tendermint-9, connection-5, channel-93, icacontroller-kujira16s4etqsg456m5txn8ec39n4f2u9r0f642vdlxu
stargaze-1, 07-tendermint-195, connection-128, channel-178, icahost, stride-1, 07-tendermint-30, connection-18, channel-127, icacontroller-stargaze-1.WITHDRAWAL
stargaze-1, 07-tendermint-195, connection-128, channel-179, icahost, stride-1, 07-tendermint-30, connection-18, channel-128, icacontroller-stargaze-1.DELEGATION
stargaze-1, 07-tendermint-225, connection-159, channel-196, icahost, quicksilver-2, 07-tendermint-0, connection-0, channel-107, icacontroller-stargaze-1.delegate
stargaze-1, 07-tendermint-183, connection-118, channel-54, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-stargaze-1.REDEMPTION
