CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
crescent-1, 07-tendermint-0, connection-0, channel-0, transfer, columbus-5, 07-tendermint-101, connection-70, channel-49, transfer
crescent-1, 07-tendermint-3, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-724, connection-538, channel-326, transfer
crescent-1, 07-tendermint-18, connection-13, channel-10, transfer, secret-4, 07-tendermint-53, connection-31, channel-24, transfer
crescent-1, 07-tendermint-19, connection-14, channel-11, transfer, agoric-3, 07-tendermint-2, connection-2, channel-2, transfer
crescent-1, 07-tendermint-22, connection-15, channel-12, transfer, umee-1, 07-tendermint-59, connection-32, channel-23, transfer
crescent-1, 07-tendermint-22, connection-16, channel-13, transfer, umee-1, 07-tendermint-59, connection-33, channel-24, transfer
crescent-1, 07-tendermint-22, connection-17, channel-14, transfer, umee-1, 07-tendermint-59, connection-34, channel-25, transfer
crescent-1, 07-tendermint-22, connection-18, channel-15, transfer, umee-1, 07-tendermint-59, connection-35, channel-26, transfer
crescent-1, 07-tendermint-22, connection-19, channel-16, transfer, umee-1, 07-tendermint-59, connection-36, channel-27, transfer
crescent-1, 07-tendermint-22, connection-20, channel-17, transfer, umee-1, 07-tendermint-59, connection-37, channel-28, transfer
crescent-1, 07-tendermint-22, connection-21, channel-18, transfer, umee-1, 07-tendermint-59, connection-38, channel-29, transfer
crescent-1, 07-tendermint-22, connection-23, channel-19, transfer, umee-1, 07-tendermint-59, connection-40, channel-30, transfer
crescent-1, 07-tendermint-4, connection-2, channel-2, transfer, gravity-bridge-3, 07-tendermint-100, connection-102, channel-62, transfer
crescent-1, 07-tendermint-22, connection-26, channel-20, transfer, umee-1, 07-tendermint-59, connection-42, channel-31, transfer
crescent-1, 07-tendermint-24, connection-27, channel-21, transfer, stargaze-1, 07-tendermint-180, connection-114, channel-51, transfer
crescent-1, 07-tendermint-25, connection-28, channel-22, transfer, agoric-3, 07-tendermint-9, connection-12, channel-7, transfer
crescent-1, 07-tendermint-26, connection-29, channel-23, transfer, injective-1, 07-tendermint-132, connection-105, channel-90, transfer
crescent-1, 07-tendermint-30, connection-31, channel-24, transfer, columbus-5, 07-tendermint-167, connection-97, channel-67, transfer
crescent-1, 07-tendermint-31, connection-32, channel-25, transfer, comdex-1, 07-tendermint-86, connection-51, channel-46, transfer
crescent-1, 07-tendermint-32, connection-33, channel-26, transfer, comdex-1, 07-tendermint-108, connection-54, channel-49, transfer
crescent-1, 07-tendermint-36, connection-37, channel-27, transfer, phoenix-1, 07-tendermint-68, connection-57, channel-37, transfer
crescent-1, 07-tendermint-37, connection-38, channel-28, transfer, phoenix-1, 07-tendermint-69, connection-58, channel-38, transfer
crescent-1, 07-tendermint-38, connection-39, channel-29, transfer, stride-1, 07-tendermint-44, connection-30, channel-51, transfer
crescent-1, 07-tendermint-5, connection-3, channel-3, transfer, juno-1, 07-tendermint-160, connection-107, channel-81, transfer
crescent-1, 07-tendermint-42, connection-41, channel-30, transfer, core-1, 07-tendermint-88, connection-72, channel-68, transfer
crescent-1, 07-tendermint-44, connection-46, channel-31, transfer, exchain-66, 07-tendermint-116, connection-78, channel-46, transfer
crescent-1, 07-tendermint-46, connection-47, channel-32, transfer, axelar-dojo-1, 07-tendermint-84, connection-72, channel-58, transfer
