CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
irishub-1, 07-tendermint-1, connection-1, channel-0, transfer, cosmoshub-4, 07-tendermint-141, connection-187, channel-91, transfer
irishub-1, 07-tendermint-24, connection-18, channel-10, transfer, crypto-org-chain-mainnet-1, 07-tendermint-60, connection-33, channel-16, transfer
irishub-1, 07-tendermint-27, connection-19, channel-11, transfer, akashnet-2, 07-tendermint-52, connection-28, channel-16, transfer
irishub-1, 07-tendermint-31, connection-22, channel-12, transfer, cosmoshub-4, 07-tendermint-384, connection-338, channel-182, transfer
irishub-1, 07-tendermint-32, connection-23, channel-13, transfer, crypto-org-chain-mainnet-1, 07-tendermint-650, connection-197, channel-23, transfer
irishub-1, 07-tendermint-33, connection-24, channel-14, transfer, osmosis-1, 07-tendermint-637, connection-599, channel-17, transfer
irishub-1, 07-tendermint-34, connection-25, channel-15, transfer, core-1, 07-tendermint-31, connection-25, channel-19, transfer
irishub-1, 07-tendermint-35, connection-26, channel-16, transfer, regen-1, 07-tendermint-25, connection-22, channel-9, transfer
irishub-1, 07-tendermint-36, connection-28, channel-17, transfer, sentinelhub-2, 07-tendermint-54, connection-30, channel-9, transfer
irishub-1, 07-tendermint-41, connection-29, channel-18, transfer, sifchain-1, 07-tendermint-17, connection-7, channel-6, transfer
irishub-1, 07-tendermint-42, connection-30, channel-19, transfer, sifchain-1, 07-tendermint-19, connection-9, channel-8, transfer
irishub-1, 07-tendermint-4, connection-3, channel-2, transfer, cosmoshub-4, 07-tendermint-157, connection-201, channel-112, transfer
irishub-1, 07-tendermint-43, connection-31, channel-20, transfer, iov-mainnet-ibc, 07-tendermint-40, connection-26, channel-10, transfer
irishub-1, 07-tendermint-44, connection-32, channel-21, transfer, iov-mainnet-ibc, 07-tendermint-41, connection-27, channel-11, transfer
irishub-1, 07-tendermint-45, connection-33, channel-22, transfer, microtick-1, 07-tendermint-86, connection-85, channel-8, transfer
irishub-1, 07-tendermint-46, connection-34, channel-23, transfer, emoney-3, 07-tendermint-10, connection-4, channel-2, transfer
irishub-1, 07-tendermint-47, connection-35, channel-24, transfer, impacthub-3, 07-tendermint-11, connection-11, channel-3, transfer
irishub-1, 07-tendermint-48, connection-36, channel-25, transfer, emoney-3, 07-tendermint-17, connection-11, channel-6, transfer
irishub-1, 07-tendermint-49, connection-37, channel-26, transfer, sifchain-1, 07-tendermint-48, connection-25, channel-21, transfer
