CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
jackal-1, 07-tendermint-2, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-2273, connection-1762, channel-412, transfer
jackal-1, 07-tendermint-5, connection-2, channel-1, transfer, umee-1, 07-tendermint-88, connection-56, channel-35, transfer
jackal-1, 07-tendermint-15, connection-11, channel-10, transfer, axelar-dojo-1, 07-tendermint-149, connection-134, channel-101, transfer
jackal-1, 07-tendermint-16, connection-12, channel-11, transfer, cheqd-mainnet-1, 07-tendermint-47, connection-31, channel-19, transfer
jackal-1, 07-tendermint-17, connection-13, channel-12, transfer, chihuahua-1, 07-tendermint-149, connection-97, channel-51, transfer
jackal-1, 07-tendermint-18, connection-14, channel-13, transfer, crescent-1, 07-tendermint-92, connection-81, channel-52, transfer
jackal-1, 07-tendermint-19, connection-15, channel-14, transfer, desmos-mainnet, 07-tendermint-47, connection-28, channel-20, transfer
jackal-1, 07-tendermint-20, connection-16, channel-15, transfer, gravity-bridge-3, 07-tendermint-382, connection-364, channel-127, transfer
jackal-1, 07-tendermint-21, connection-17, channel-16, transfer, injective-1, 07-tendermint-186, connection-168, channel-132, transfer
jackal-1, 07-tendermint-22, connection-18, channel-17, transfer, irishub-1, 07-tendermint-125, connection-92, channel-53, transfer
jackal-1, 07-tendermint-24, connection-19, channel-18, transfer, bostrom, 07-tendermint-79, connection-52, channel-44, transfer
jackal-1, 07-tendermint-26, connection-20, channel-19, transfer, cosmoshub-4, 07-tendermint-1138, connection-825, channel-582, transfer
jackal-1, 07-tendermint-6, connection-3, channel-2, transfer, secret-4, 07-tendermint-124, connection-94, channel-62, transfer
jackal-1, 07-tendermint-30, connection-22, channel-20, transfer, juno-1, 07-tendermint-361, connection-360, channel-258, transfer
jackal-1, 07-tendermint-31, connection-23, channel-21, transfer, kava_2222-10, 07-tendermint-88, connection-130, channel-98, transfer
jackal-1, 07-tendermint-33, connection-24, channel-22, transfer, kaiyo-1, 07-tendermint-123, connection-91, channel-84, transfer
jackal-1, 07-tendermint-36, connection-27, channel-23, transfer, quicksilver-2, 07-tendermint-41, connection-29, channel-71, transfer
jackal-1, 07-tendermint-37, connection-28, channel-24, transfer, sentinelhub-2, 07-tendermint-149, connection-123, channel-79, transfer
jackal-1, 07-tendermint-38, connection-29, channel-25, transfer, sommelier-3, 07-tendermint-29, connection-31, channel-20, transfer
jackal-1, 07-tendermint-39, connection-30, channel-26, transfer, teritori-1, 07-tendermint-59, connection-37, channel-29, transfer
jackal-1, 07-tendermint-40, connection-31, channel-27, transfer, umee-1, 07-tendermint-194, connection-134, channel-75, transfer
jackal-1, 07-tendermint-42, connection-33, channel-28, transfer, juno-1, 07-tendermint-364, connection-362, channel-260, transfer
jackal-1, 07-tendermint-44, connection-34, channel-29, transfer, mars-1, 07-tendermint-40, connection-30, channel-22, transfer
jackal-1, 07-tendermint-7, connection-4, channel-3, transfer, phoenix-1, 07-tendermint-162, connection-133, channel-113, transfer
jackal-1, 07-tendermint-45, connection-35, channel-30, transfer, odin-mainnet-freya, 07-tendermint-83, connection-65, channel-49, transfer
jackal-1, 07-tendermint-46, connection-36, channel-31, transfer, core-1, 07-tendermint-129, connection-166, channel-100, transfer
jackal-1, 07-tendermint-47, connection-37, channel-32, transfer, regen-1, 07-tendermint-148, connection-126, channel-128, transfer
jackal-1, 07-tendermint-48, connection-38, channel-33, transfer, stargaze-1, 07-tendermint-263, connection-196, channel-166, transfer
jackal-1, 07-tendermint-49, connection-39, channel-34, transfer, iov-mainnet-ibc, 07-tendermint-88, connection-68, channel-43, transfer
jackal-1, 07-tendermint-50, connection-40, channel-35, transfer, columbus-5, 07-tendermint-209, connection-132, channel-81, transfer
jackal-1, 07-tendermint-51, connection-41, channel-36, transfer, phoenix-1, 07-tendermint-237, connection-184, channel-161, transfer
jackal-1, 07-tendermint-52, connection-42, channel-37, transfer, kaiyo-1, 07-tendermint-138, connection-104, channel-92, transfer
jackal-1, 07-tendermint-56, connection-46, channel-38, transfer, crescent-1, 07-tendermint-111, connection-97, channel-63, transfer
jackal-1, 07-tendermint-57, connection-47, channel-39, transfer, kaiyo-1, 07-tendermint-139, connection-105, channel-94, transfer
jackal-1, 07-tendermint-8, connection-5, channel-4, transfer, phoenix-1, 07-tendermint-180, connection-143, channel-124, transfer
jackal-1, 07-tendermint-59, connection-49, channel-40, transfer, archway-1, 07-tendermint-5, connection-4, channel-3, transfer
jackal-1, 07-tendermint-9, connection-6, channel-5, transfer, eightball-1, 07-tendermint-55, connection-48, channel-44, transfer
jackal-1, 07-tendermint-10, connection-7, channel-6, transfer, agoric-3, 07-tendermint-42, connection-39, channel-31, transfer
jackal-1, 07-tendermint-11, connection-8, channel-7, transfer, arkh, 07-tendermint-64, connection-56, channel-36, transfer
jackal-1, 07-tendermint-12, connection-9, channel-8, transfer, mantle-1, 07-tendermint-70, connection-48, channel-35, transfer
jackal-1, 07-tendermint-14, connection-10, channel-9, transfer, bitcanna-1, 07-tendermint-53, connection-48, channel-29, transfer
